provincias,lat,long
ARABA/ÁLAVA,42.844072249999996,-2.6820829322126283
BIZKAIA,43.238482000000005,-2.85163163999482
GIPUZKOA,43.144527800000006,-2.2037955488327494
RIOJA (LA),42.2814642,-2.482804975070473
NAVARRA,42.61254875,-1.830787673361753
BURGOS,42.343926,-3.696977
CANTABRIA,43.1595664,-4.0878382
MADRID,40.4167047,-3.7035825
ZARAGOZA,41.6521342,-0.8809428
BARCELONA,41.3828939,2.1774322
GIRONA,41.9793006,2.8199439
LLEIDA,41.6147605,0.6267842
TARRAGONA,41.1172364,1.2546057
CASTELLÓN/CASTELLÓ,39.9881471,-0.051915
HUESCA,42.13606145,-0.029802662719165485
ILLES BALEARS,39.613432,2.8829026938823548
CORUÑA (A),43.3709703,-8.3959425
LUGO,43.0462247,-7.4739921
OURENSE,42.1968459,-7.6114105
PONTEVEDRA,42.6075172,-8.4714942
LEÓN,42.63414505,-5.971415104539984
ASTURIAS,43.3133868,-5.94192
ZAMORA,41.6857693,-5.942315044623113
ALMERÍA,36.8414197,-2.4628135
CÁDIZ,36.5297438,-6.2928976
MURCIA,37.9923795,-1.1305431
GRANADA,37.1734995,-3.5995337
SEVILLA,37.3886303,-5.9953403
BADAJOZ,38.88964355,-6.980142450723942
MÁLAGA,36.7213028,-4.4216366
CÓRDOBA,37.8845813,-4.7760138
HUELVA,37.2575874,-6.9484945
JAÉN,37.9557275,-3.492055612037218
MELILLA,35.29291145,-2.950720236037561
ALICANTE/ALACANT,38.3436365,-0.4881708
VALENCIA/VALÈNCIA,39.33420575,-0.7973474394744401
ALBACETE,38.9950921,-1.8559154
TERUEL,40.6005259,-0.9229281876827901
CUENCA,40.0661031,-2.1313528
GUADALAJARA,40.63435548,-3.16210273
SORIA,41.60125045,-2.721938035449954
TOLEDO,39.8560679,-4.0239568
ÁVILA,40.656478,-4.7002172
CÁCERES,39.4745175,-6.3716761
CIUDAD REAL,38.959734749999996,-3.8828744402485436
PALMAS (LAS),28.099378545,-15.413368411	
SANTA CRUZ DE TENERIFE,28.469648,-16.2540884
SEGOVIA,40.9478977,-4.1181361
PALENCIA,42.409632200000004,-4.616100410293067
SALAMANCA,40.9651572,-5.6640182
VALLADOLID,41.6521328,-4.728562
